"Facility";"Reactor";"Assembly Type";"Assembly ID";"Enrichment";"Uranium";"Burnup";"Discharge Date";"Measurement date";"Cooling time";"Measures decay heat";"Calculated decay heat";"Reactor Type"
"GE-Morris";"Point Beach";"14x14";"C-52";3.397;386.54;31914;"3/311977";"8/23/1981";1635;724;718.6;"PWR"
"GE-Morris";"Point Beach";"14x14";"C-56";3.397;386.8;38917;"3/3/1977";"8/24/1981";1634;921;917.2;"PWR"
"GE-Morris";"Point Beach";"14x14";"CG64";3.397;386.63;39384;"3/3/1977";"8/23/1981";1633;931;931.2;"PWR"
"GE-Morris";"Point Beach";"14x14";"C-66";3.397;386.54;35433;"3/3/1977";"8/20/1981";1630;846;834.2;"PWR"
"GE-Morris";"Point Beach";"14x14";"C-67";3.397;386.45;38946;"3/3/1977";"8/19/1981";1629;934;919.5;"PWR"
"GE-Morris";"Point Beach";"14x14";"C-68";3.397;386.36;37059;"3/3/1977";"8/20/1981";1630;874;876.2;"PWR"
"GE-Morris";"San Onofre";"14x14";"C-01";3.865;361.72;26540;"6/2/1973";"8/30/1981";3011;359;360;"PWR"
"GE-Morris";"San Onofre";"14x14";"C-16";3.865;361.72;28462;"6/2/1973";"8/31/1981";3012;384;388.6;"PWR"
"GE-Morris";"San Onofre";"14x14";"C-19";3.865;361.72;30426;"6/2/1973";"8/30/1981";3011;418;417.2;"PWR"
"GE-Morris";"San Onofre";"14x14";"C-20";3.865;361.72;32363;"6/2/1973";"8/2911981";3011;456;447.2;"PWR"
"GE-Morris";"San Onofre";"14x14";"D-01";4.005;363.64;31393;"3/14/1975";"8/27/1981";2358;499;489.9;"PWR"
"GE-Morris";"San Onofre";"14x14";"D-46";4.005;363.64;32318;"3/14/1975";"8/29/1981";2360;510;507.8;"PWR"
"GE-Morris";"San Onofre";"14x14";"E-18";4.005;363.98;32357;"9/30/1976";"8/28/1981";1794;635;630.7;"PWR"
"GE-Morris";"San Onofre";"14x14";"F-04";3.996;372.32;30429;"9/15/1978";"8/28/1981";1078;934;927.3;"PWR"
"HEDL";"Turkey Point";"15x15";"B-43";2.559;447.79;25595;"10/26/1975";"9/11/1980";1782;637;619.9;"PWR"
"HEDL";"Turkey Point";"15x15";"D-15";2.557;456.12;28430;"11/24/1977";"7/8/1980";957;1423;1444;"PWR"
"HEDL";"Turkey Point";"15x15";"D-15";2.557;456.12;28430;"11/24/1977";"1/6/1981";1139;1126;1175;"PWR"
"HEDL";"Turkey Point";"15x15";"D-15";2.557;456.12;28430;"11/24/1977";"7/28/1983";2072;625;623.8;"PWR"
"HEDL";"Turkey Point";"15x15";"D-22";2.557;458;26485;"11/24/1977";"7/9/1980";958;1284;1280;"PWR"
"HEDL";"Turkey Point";"15x15";"D-34";2.557;455.24;27863;"11/24/1977";"4/1/1980";859;1550;1590;"PWR"
"GE-Morris";"Cooper";"7x7";"CZI02";1.09;195.48;11667;"9/17/1977";"9/25/1984";2565;62.3;80;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ102";1.09;195.48;11667;"9/17/1977";"12/14/1984";2645;70.4;78.7;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ147";2.5;190.31;26709;"4/20/1981";"11/4/1984";1294;276.7;282.7;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ148";2.5;190.22;26310;"4/20/1981";"10/23/1984";1282;273.5;280.2;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ182";2.5;190.09;26823;"5/21/1982";"9/27/1984";860;342.6;344.1;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ195";2.5;190.68;26391;"4/20/1981";"10/29/1984";1288;255.5;277.2;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"9/24/1984";857;324;314;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"10/4/1984";867;361.5;311.2;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"10/8/1984";871;343.5;310;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"10/9/1984";872;353.2;309.8;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"10/23/1984";886;331.8;306;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"10/24/1984";887;338.7;305.7;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"10/29/1984";892;327.5;304.4;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"11/2/1984";896;313.1;303.3;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"11/5/1984";899;311.4;302.5;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"12/6/1984";930;314;294.7;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"12/12/1984";936;331.2;293.2;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"12/22/1984";946;317.1;290.9;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"5/13/1985";1088;289.7;261.8;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ205";2.5;190.72;25344;"5/21/1982";"5/28/1985";1103;308;259.1;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ209";2.5;190.38;25383;"5/21/1982";"10/28/1984";891;279.5;277.2;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ211";2.5;190.82;26679;"4/20/1981";"10/1/1984";1260;296;289.3;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ211";2.5;190.82;26679;"4/20/1981";"5/20/1985";1491;240.3;252.5;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ222";2.5;190.9;26692;"5/21/1982";"11/4/1984";898;355.7;327.5;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ225";2.5;190.51;25796;"5/21/1982";"10/2/1984";865;333.5;304.2;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ239";2.5;189.57;27246;"5/21/1982";"10/30/1984";893;366.5;337.3;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ246";2.5;189.81;27362;"5/21/1982";"11/2/1984";896;320.9;341.8;"BWR"
"GE-Morris";"Cooper";"7x7";"CZ246";2.5;189.81;27362;"5/21/1982";"11/5/1984";899;341.7;340.9;"BWR"
